File,Iteration,Connected,Size,Clustersize,Total_CZ,Still_CZ,Ratio,Saved_entanglement_by_color
ghz_indep_qiskit_25,0,True,"[8, 8, 4, 4, 4, 8, 4, 8, 8, 4]",5,24,9,0.375,"{1: 200, 2: 200, 3: 100, 4: 100, 5: 100, 6: 200, 7: 100, 8: 200, 9: 200, 10: 100}"
qpeinexact_indep_qiskit_25,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,636,636,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0}"
qpeinexact_indep_qiskit_25,0,True,"[2, 2, 2, 2, 2, 2, 2, 4, 4, 2, 4, 2, 4, 2, 32, 2, 2]",3,636,608,0.9559748427672956,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 200, 9: 200, 10: 0, 11: 200, 12: 0, 13: 200, 14: 0, 15: 2000, 16: 0, 17: 0}"
qpeinexact_indep_qiskit_25,0,True,"[4, 2, 4, 2, 2, 2, 64, 4, 4, 4, 4, 4, 2]",4,636,571,0.8977987421383647,"{1: 500, 2: 0, 3: 500, 4: 0, 5: 0, 6: 0, 7: 3000, 8: 500, 9: 500, 10: 500, 11: 500, 12: 500, 13: 0}"
qpeinexact_indep_qiskit_25,0,True,"[4, 4, 4, 4, 4, 4, 4, 128, 4, 4]",5,636,564,0.8867924528301887,"{1: 200, 2: 500, 3: 200, 4: 500, 5: 500, 6: 200, 7: 500, 8: 4200, 9: 200, 10: 200}"
wstate_indep_qiskit_25,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,48,48,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0}"
wstate_indep_qiskit_25,0,True,"[4, 4, 4, 4, 2, 2, 2, 4, 2, 4, 4, 2, 4, 2, 2, 2, 2]",3,48,32,0.6666666666666666,"{1: 200, 2: 200, 3: 200, 4: 200, 5: 0, 6: 0, 7: 0, 8: 200, 9: 0, 10: 200, 11: 200, 12: 0, 13: 200, 14: 0, 15: 0, 16: 0, 17: 0}"
wstate_indep_qiskit_25,0,True,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,48,24,0.5,"{1: 0, 2: 200, 3: 200, 4: 200, 5: 200, 6: 200, 7: 200, 8: 200, 9: 200, 10: 200, 11: 200, 12: 200, 13: 200}"
wstate_indep_qiskit_25,0,True,"[4, 8, 4, 4, 4, 8, 4, 8, 8, 8]",5,48,18,0.375,"{1: 200, 2: 400, 3: 200, 4: 200, 5: 200, 6: 400, 7: 200, 8: 400, 9: 400, 10: 400}"
ae_indep_qiskit_31,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,918,918,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0, 28: 0, 29: 0, 30: 0, 31: 0}"
ae_indep_qiskit_31,0,True,"[2, 32, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 8, 2, 4, 2, 4, 2]",3,918,884,0.9629629629629629,"{1: 0, 2: 2000, 3: 0, 4: 0, 5: 0, 6: 0, 7: 200, 8: 200, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 600, 17: 0, 18: 200, 19: 0, 20: 200, 21: 0}"
ae_indep_qiskit_31,0,True,"[4, 2, 4, 2, 128, 2, 4, 4, 4, 2, 4, 4, 4, 4, 2, 2]",4,918,858,0.934640522875817,"{1: 200, 2: 0, 3: 200, 4: 0, 5: 4200, 6: 0, 7: 200, 8: 200, 9: 200, 10: 0, 11: 200, 12: 200, 13: 200, 14: 200, 15: 0, 16: 0}"
ae_indep_qiskit_31,0,True,"[4, 4, 16, 4, 4, 4, 2, 4, 8, 8, 8, 4, 8]",5,918,868,0.9455337690631809,"{1: 200, 2: 200, 3: 1200, 4: 200, 5: 200, 6: 200, 7: 0, 8: 200, 9: 600, 10: 600, 11: 600, 12: 200, 13: 600}"
wstate_indep_qiskit_31,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,60,60,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0, 28: 0, 29: 0, 30: 0, 31: 0}"
